SE123456,Nguyen Van An,0987654321,an@fpt.edu.vn,MT01,3900000
HE234567,Tran Thi Bich,0912345678,bich@fpt.edu.vn,MT02,6000000
DE345678,Le Hoang Nam,0868889999,nam@fpt.edu.vn,MT03,3900000
QE456789,Pham Thi Lan,0905111222,lan@fpt.edu.vn,MT04,6000000
CE567890,Hoang Van Duc,0326667777,duc@fpt.edu.vn,MT05,3900000
SE678901,Vu Thi Hoa,0971234567,hoa@fpt.edu.vn,MT06,3900000
HE789012,Bui Minh Khoa,0945556666,khoa@fpt.edu.vn,MT07,6000000
DE890123,Ngo Thi Mai,0888999000,mai@fpt.edu.vn,MT08,3900000
QE901234,Do Van Hung,0834445555,hung@fpt.edu.vn,MT09,6000000
CE012345,Ly Thi Thu,0096642111,thu@fpt.edu.vn,MT10,6000000
